umhlaba	u m hlaba
bakuthole	ba ku thol e
kubekhona	ku be kho na
ngazibuka	ng a zi buk a
ngitheni	ngi th e ni
benzakaliswa	b enz akal is w a
amaqakala	a ma qakala
embhedeni	e m bhed eni
kwafika	kw a fik a
nosimakade	no si makade
okumbambile	o ku m bamb ile
yokwesula	y o kw esul a
esenkingeni	e se n king eni
isizwe	i si zwe
yisigxobo	y i si gxobo
esefuna	e se fun a
azibuzele	a zi buz el e
nempepho	n e m peph o
dhlomo	dhlomo
zami	za mi
uyaphi	u y a phi
enganginiphatha	e ng a ngi ni phath a
ngabuza	ng a buz a
kwakumuntu	kw a ku mu ntu
basuthe	ba suth e
washayeka	w a shay ek a
lesisikhundla	le si si khundla
imithi	i mi thi
ungasisiza	u nga si siz a
lowonyaka	lo w o nyaka
abaphatheka	a ba phath ek a
yayibuye	y a yi buy e
isivini	i si vini
ngejubane	ng e jubane
amuzwe	a mu zw e, a mu z w e
egulela	e gul el a
badedelwe	ba dedel w e
abehlukana	a b ehluk an a
bangadilizwa	ba nga diliz w a
esebenza	e sebenz a
emseleni	e m sel eni
uphelela	u phel el a
akalokothi	a ka lokoth i
bafana	b a fan a, ba fana
owangenzela	o w a ng enz el a
ilema	i lema
isihambile	i s i hamb ile
eminye	e mi nye
ngabantu	ng a ba ntu
ubanjwe	u banj w e
kubahlungu	ku b a hlungu
kunomlilo	kun o m lilo
sithi	si thi
akubokwenziwa	a ku bo kw enz iw a
siyazishayela	si ya zi shay el a
msebenzi	m sebenz i
okwemincintiswano	o kw e mi ncint is w an o
ilungise	i lung is e
ngizishiya	ngi zi shiy a
wayeguduza	w a ye guduz a
abakade	a ba kade
awasale	a wa sal e
engasezwa	e nga se zw a
zamanje	za manje
mbulale	m bulal e
noluhlaza	n o luhlaza
liyofika	li yo fik a
enkulu	e n kulu
akabange	a ka bang e, a ka bange
kukhathazwa	ku khathaz w a
angayi	a nga y i
ngamakhaya	ng a ma khaya
unkosazana	u n kos az ana
ngingakutshela	ngi nga ku tshel a
kabasaphefumuli	ka ba sa phefumul i
ngumshini	ngu m shini
ukusizakala	u ku siz akal a
iphoyisa	i phoyisa
kwankala	kwa n kala
nesekela	n e sekel a
uyafika	u ya fik a
okhiye	o khiy e
impendulo	i m pendul o
ibuhlungu	i buhlungu
usebuyile	u se buy ile
elungile	e lung ile
kukadingiswayo	kuka ding is w a yo
wena	we na
sikhuluma	si khulum a
utheni	u th e ni
bona	bo na
sesingavuswa	se si nga vus w a
bantu	ba ntu
izambatho	i z ambath o
uselungiselela	u se lung is el el a
ushevu	u shevu
heqe	heqe
kwathula	kw a thul a
nginedumbe	ngi n e dumbe
ngiyaphinda	ngi ya phind a
ukutholaphi	u ku thol a phi
kwehlule	kw ehlul e
oyiphelezele	o yi phelezel e
esehambe	e se hamb e
kunezinye	ku n e zi nye
esehamba	e se hamb a
sizobambana	si zo bamb an a
wayesewabuza	w a ye se wa buz a
esikorokorweni	e si korokorw eni
usebabuthile	u se ba buth ile
kumfundisi	ku m fund is i
sonke	so nke
babeze	ba be z e
abaya	a ba y a
ubulawa	u bulaw a
imnandi	i mnandi
ubulawe	u bulaw e
benakene	be nak en e
wavala	w a val a
izitshudeni	i zi tshuden i
emsileni	e m sil eni
ecele	e cel e
isu	i su
wabuza	w a buz a
kuliwa	ku l iw a
iso	i so
sithule	si thul e
alotsholwa	a lotshol w a
yikhehla	y i khehla
likhona	l ikhona, l i khona
yokucatshangwa	y o ku catshang w a
wawuvele	w a wu vel e
aseyaphela	a se ya phel a
engingakweluleka	e ngi nga kw elulek a
sekusophe	se ku soph e
nendodana	n e n dod ana
lethembe	l ethemb e
kukithi	ku ki thi
naniwumuzi	n a ni w u mu zi
uyohamba	u yo hamb a
wenza	w enz a
kuqale	ku qal e
kuqala	ku qal a
bathini	ba thi ni
bayakusuka	ba ya ku suk a
wezwakala	w ezw akal a
amaphayiphi	a ma phayiphi
ezikoleni	e zi kol eni
kweluse	kw elus e
esavimbile	e sa vimb ile
okuningi	o ku ningi
esho	e sho
bengasesangweni	be nga se sangw eni
unina	u nina
uhambo	u hamb o
sichaye	si chay e
mubi	mu bi
bangene	ba ngen e
onozwela	o n o zw el a
bangena	ba ngen a
ubuwelelwele	u bu welelwel e
besimlindele	be si m lind el e
ubenzani	u b enz a ni
wayesekhona	w a ye se kho na
umkhondo	u m khondo
mina	mi na
bangabi	ba nga b i
elingene	e li ngen e
uzophumula	u zo phumul a
akuhambi	a ku hamb i
boxoshwa	b o xosh w a
kumamkhize	ku ma m khize
wahosha	w a hosh a
lwaphika	lw a phik a
isivinini	i si vinini
inkulu	i n kulu
basheshe	ba shesh e
lenjoloba	l e n joloba
engephula	e ng ephul a
ukucebisana	u ku ceb is an a
qiniso	qinis o
eyeka	e yek a
libalele	li balel e
uyaphana	u ya ph an a
imbobo	i m bobo
ukudangala	u ku dangal a
ngigqolozele	ngi gqoloz el e
anikine	a nikin e
lize	li z e
nqatshelwa	nqatshel w a
akekho	a k ekho
inhloli	i n hlol i
bengingazi	be ngi ng azi
ukukwenzela	u ku kw enz el a
kubantu	ku ba ntu
zajabula	z a jabul a
wafika	w a fik a
ngiyakhuluma	ngi ya khulum a
bangamthathela	ba nga m thath el a
kunazo	kuna zo
nampa	nam pa
kulomuzi	ku lo mu zi
ezingenamsebenzi	e zi nge na m sebenz i
abasize	a ba siz e
ucije	u cij e
angamdumazi	a nga m dumaz i
asibonge	a si bong e
kwakuyiyo	kw a ku yi yo
ngizonichazela	ngi zo ni chaz el a
lendoda	le n doda, l e n doda
simele	si m el e
enduduzo	e n duduz o
langena	l a ngen a
sibonane	si bon an e
aphuziswe	a phuz is w e
esikhaleni	e si khal eni
ofana	o fan a
kusukela	ku suk el a
lamakhosikazi	l a ma khosi kazi
ihhashi	i hhashi
ngonina	ng o nina
ulaka	u laka
kwakuthunywa	kw a ku thuny w a
ondabeni	o n dab eni
onyesha	o nyesh a
ngibuthiwe	ngi buth iw e
sezinawo	se zi na wo
akhiphe	a khiph e
chokochoko	chokochoko
esule	e sul e
enjani	e njani
siphethwe	si pheth w e
enhla	e n hla
oweqa	o w eq a
elakwambabo	e la kwa mbabo
kwamxina	kw a m xin a
lisashisa	li sa sh is a
laze	l a ze
banokwesaba	ba n o kw esab a
anesisindo	a n e si sind o
aqwashe	a qwash e
ebuka	e buk a
kuze	ku z e
edla	e dl a
okulula	o ku lula
enze	enz e
bavuma	b a vum a, ba vum a
kunguyena	ku ngu ye na
engikwaziyo	e ngi kw azi yo
uyabona	u ya bon a
ayithola	a yi thol a
ayithole	a yi thol e
enzeni	enz e ni
kayiyikholwa	ka yi yi khol w a
wayazi	w a y azi
ngiyamazi	ngi ya m azi
ezitshela	e zi tshel a
seyisebaleni	se yi se bal eni
akwenzeki	a kw enz ek i
sigane	si gan e
emkhawulweni	e m khawul w eni
ngazizwa	ng a zi zw a
kwakhala	kw a khal a
ngamahhelekehle	ng a ma hhelekehle
ayibuke	a yi buk e
emamatheka	e mamathek a
ezicabanga	e zi cabang a
okuthiwa	o ku th iw a
engazange	e nga zange
ongenafu	o ngenafu
bayothelana	ba yo thel an a
bahlwitha	ba hlwith a
esiyedelelisa	e si yedelel is a
sebekhulile	se be khul ile
ayobalunguza	a yo ba lunguz a
bakhubeka	ba khub ek a
avele	a vel e
ngingaba	ngi nga b a
oseyochaza	o se yo chaz a
banginikeza	ba ngi nikez a
wangitshela	w a ngi tshel a
ngingakaxolisi	ngi nga ka xol is i
ayeyibheke	a ye yi bhek e
namaqele	n a ma qele
kumangwane	ku mangw ane
amazinyo	a ma zinyo
zolimi	z o limi
akenze	a k enz e, a kenz e
wakhuza	w a khuz a
kobuye	k o buy e
wavuleka	w a vul ek a
igazi	i gazi
ngidabuka	ngi dabuk a
sekwaze	se kw a ze
selisokhakhayini	se li so khakhay ini
ingena	i ngen a
taku	taku
sengiyadideka	se ngi ya did ek a
ukhama	u kham a
ngangizolindela	ng a ngi zo lind el a
libathe	li ba th e
ngehluke	ng ehluk e
asithole	a si thol e
nantambama	na ntambama
imihlathi	i mi hlathi
awusakhumbuli	a wu sa khumbul i
okunguhluphile	o ku ng u hluph ile
womphako	w o m phak o
bayayehla	ba ya y ehl a
ngibonge	ngi bong e
ayekuyo	a ye ku yo
uzenzelwa	u z enz el w a
ngiyalalela	ngi ya lalel a
khuluse	khuluse
okwesibili	o kw e si bili
wezingane	w e zin gane
kunamaphoyisa	ku na ma phoyisa
mnyamande	mnyamande
ayaziyo	a y azi yo
yayingambhalela	y a yi nga m bhal el a
okwakuhlalwa	o kw a ku hlal w a
bamlalise	ba m lal is e
abayikhulumayo	a ba yi khulum a yo
ngiyamfanisa	ngi ya m fanis a
namhlaba	na m hlaba
bangqumuza	ba ngqumuz a
ufulawa	u fulawa
ahleke	a hlek e
wayengakuthandisisi	w a ye nga ku thand isis i
hhayi	hhayi
sekungathiwa	se ku nga th iw a
noprofessor	n o professor
iminyaka	i mi nyaka
kuwumsebenzi	ku w u m sebenz i
kulenkinga	ku le n kinga
umabatha	u mabatha
befana	be fan a
kukhala	ku khal a
kwesinye	kw e si nye
bebhuquza	be bhuquz a
yedwa	ye dwa
balinde	ba lind e
kwakho	kwa kho
ekhombisa	e khomb is a
kwakhe	kwa khe
ihlanze	i hlanz e
yikhona	yi kho na
ezophatha	e zo phath a
nezinyembezi	n e zi nyembezi
yingqondo	y i n gqond o
welashwa	w elash w a
ngingakabi	ngi nga ka b i
ukuguga	u ku gug a
usumlethele	u s u m leth el e
ekhaya	e khaya
asashiya	a s a shiy a
yavuma	y a vum a
kwaphindwa	kw a phind w a
ngekalishi	ng e kalishi
zibe	zibe
asikasho	a si ka sho
zethuka	z ethuk a
uyaphela	u ya phel a
wethembisa	w ethemb is a
ungumfundisi	u ng u m fund is i
izophuma	i zo phum a
ephengula	e phengul a
lezindwadla	l e zin dwadla
onamandla	o na mandla, o n a ma ndla
ethi	e thi
lowo	lo w o
ethe	e th e
usekhulile	u se khul ile
nalolu	na lo lu
ilula	i lula
lawo	la wo
ngamabandla	ng a ma bandla
bethwele	be thwel e
amarandi	a ma randi
ongakwazi	o nga kw azi
kudliwa	ku dl iw a
iphindiselwe	i phind is el w e
uyahamba	u ya hamb a
enathi	e na thi
kugcwele	ku gcwel e
balandelisa	ba landel is a
yanginika	y a ngi nik a
engenakumemeza	e nge na ku memez a
siyingxenye	si y i n gxenye
bawuvuma	b a wu vum a, ba wu vum a
zindlu	zin dlu
esalungisa	e s a lung is a
lasokhohlo	la so khohlo
zenu	z enu
sekuhleli	se ku hlel i
ngawo	nga wo
ukuthelwa	u ku thel w a
ngawe	nga we
uzumekele	u zumekel e
uqhube	u qhub e
kakungenwa	ka ku ngen w a
ukushaywa	u ku shay w a
izinhlupheko	i zin hluph ek o
ifenisha	i fenisha
ngizomthola	ngi zo m thol a
kwebala	kw e bala
ngisalithola	ngi sa li thol a
bayongena	ba yo ngen a
bambamba	ba m bamb a, b a m bamb a
langanhlanye	langa n hla nye
udube	u dube
kunomsokama	kun o m sokam a
wawakhipha	w a wa khiph a
abanganqoba	a ba nga nqob a
bachaze	ba chaz e
yazi	y azi
yalezizinto	ya le zi zin to
ngiyayazi	ngi ya y azi
ngunkosikazi	ng u n kosi kazi
indodakazi	i n doda kazi
angigibele	a ngi gibel e
sebeyinyathele	se be yi nyathel e
yaze	y a ze
ngolimi	ng o limi
angayazi	a nga y azi
kothi	k o thi
sebengcono	se be ngcono
esingajwayelekile	e si nga jwayel ek ile
itoho	i toho
umakhala	u makhala
ngife	ngi f e
ukuwafundisa	u ku wa fund is a
seniyathethisana	se ni ya theth is an a
ayengafihlelwa	a ye nga fihl el w a
esekhala	e se khal a
angibuyanga	a ngi buy anga
ubathengele	u ba theng el e
ebangwa	e bang w a
kumlethele	ku m leth el e
angisenalo	a ngi se na lo
okudla	o ku dl a
ukholwa	u khol w a
wabika	w a bik a
uziqunga	u zi qung a
unsumpa	u nsumpa
ngihlele	ngi hlel e
nguyise	ng u yise
ngangiqhamokela	ng a ngi qhamok el a
unyembezi	u nyembezi
ababuya	a ba buy a
ifundelwe	i fund el w e
zisemthethweni	zi se m theth w eni
uyisangoma	u y i s angoma
njengabantu	njeng a ba ntu
ukuthatha	u ku thath a
siyamyekela	si ya m yek el a
ngakubo	nga ku bo
ziyamsinda	zi ya m sind a
ongabulala	o nga bulal a
azikhalela	a zi khal el a
ababuleweyo	a ba bule w e yo
kabahambe	ka ba hamb e
ofundisa	o fund is a
ayisathathi	a yi sa thath i
ufunda	u fund a
ayithululele	a yi thulul el e
uyabulawa	u ya bulaw a
akwazi	a kw azi
yizo	yi zo
engahlomile	e nga hlom ile
esethanda	e se thand a
abaqonywa	a ba qony w a
kuyilezo	ku yi le z o
ngonozimanga	ng o no zi ma nga
emafini	e ma f ini
siguli	si gul i
babengaphuthi	b a be nga phuth i
kabasafuni	ka ba sa fun i
kagomere	ka gomere
esingatheni	e si ngath eni
ngiyotshela	ngi yo tshel a
yayivunule	y a yi vunul e
ekhasela	e khas el a
athenge	a theng e
ayo	a yo
ayi	a yi
aye	a y e
saka	saka
umyeni	u m yeni
kuguquza	ku guquz a
eshayela	e shay el a
sezwa	s ezw a
ababone	a ba bon e
uliphiwe	u li ph iw e
zentuthu	z e n tuthu
nokuba	n okuba
wesifazane	w e si faz ane, w e si fazane
imkhombisa	i m khomb is a
ebilokhu	e b i lokhu
ngangiphuzile	ng a ngi phuz ile
kuphunyuke	ku phunyuk e
enjalo	e njalo
oyaziyo	o y azi yo
kumamshengu	ku ma m shengu
wehle	w ehl e
babhinca	ba bhinc a
akhulume	a khulum e
ngaphesheya	nga phesheya
nenja	n e n ja
umathanda	u ma thand a
ngizoba	ngi zo b a
esebuye	e se buye
esebuya	e se buy a
kanjani	ka njani
ngunandi	ng u nandi
nobunzima	n o bu nzima
iluhlaza	i luhlaza
izihlathi	i zi hlathi
angabe	a nga be
kunoluju	kun o lu ju
waqumbelana	w a qumb el an a
oqonde	o qond e
osebenzisa	o sebenz is a
nya	nya
aqalaze	a qalaz e
ngaleso	nga le s o
usaba	u sa b a
ngalesi	nga le si
akasalubhaqi	a ka sa lu bhaq i
ukucima	u ku cim a
kumhlupheki	ku m hluph ek i
esiswini	e si sw ini
afele	a f el e
ngokunye	ng o ku nye
akusekho	a ku se kho
undodana	u ndod ana
kunuka	ku nuk a
emakhanda	e ma khanda
abuze	a buz e
selivelile	se li vel ile
waqinisa	w a qinis a
umkhaya	u m khaya
ukube	u kube
kwakutshama	kw a ku tsham a
icime	i cim e
wavula	w a vul a
okwakwenza	o kw a kwenz a
ilumbo	i lumb o
okhuthalele	o khuthal el e
namathoshi	n a ma thoshi
ndoda	n doda
yema	y em a
ngugamaliyeli	ng u gamaliyeli
bafihla	b a fihl a
ziphelele	zi phelel e
ngesikhathi	ng e si khathi
uyagquma	u ya gqum a
ekulishumpuleni	e ku li shumpul eni
wayipha	w a yi ph a
wasicosha	w a si cosh a
bayayalwa	ba ya yal w a
angimbonanga	a ngi m bon anga
qha	qha
ezinye	e zi nye
esemi	e s em i
eqhudeni	e qhud eni
qho	qho
imifula	i mi fula
liphunga	li phung a
ihambise	i hamb is e
ngamahembe	ng a ma hembe
wasibeka	w a si bek a
kwangena	kw a ngen a
kabonga	ka bonga
okungaka	o ku ngaka
endlini	e n dl ini
ithemba	i themb a
mbuya	m buya
kungabantu	ku ng a ba ntu
kusiniswa	ku sin is w a
ngesibindi	ng e si bindi
sengigule	se ngi gul e
bafuna	b a fun a
akufanele	a ku fan el e, a ku fanel e
lendawo	le n dawo
ungazikhathazi	u nga zi khathaz i
udokotela	u dokotela
ababebuye	a ba be buye
sebeyizibe	se be yi zib e
oyisho	o yi sho
ukuhwelela	u ku hwel el a
akudobele	a ku dob el e
aqhuqhe	a qhuqh e
usenomunye	u se n o mu nye
kungawemali	ku nga w e mali
ungikhiphe	u ngi khiph e
engesilona	e nge si lo na
azokusiza	a zo ku siz a
awuthathwe	a wu thath w e
bayathutha	ba ya thuth a
awela	a wel a
esathi	e sa thi
sibhokile	si bhok ile
zibunjwe	zi bunj w e
unembeza	u nembeza
esegule	e se gul e
bengibusa	be ngi bus a
ubani	u bani
thina	thi na
wabachazela	w a ba chaz el a
bebuyela	be buy el a
ngesamagundane	ng e s a ma gundane
ngahlala	ng a hlal a
ingwadla	i n gwadla
isilibonile	i s i li bon ile
yalifuza	y a li fuz a
izinyosi	i zi nyosi
yaqhubeka	y a qhub ek a
wakwakho	wa kwa kho
ungaka	u ngaka
emakhekheni	e ma khekh eni
namatshwala	n a ma tshwala
nginguzangaza	ngi ng u zangaza
undumezulu	u ndumezulu
esimnandi	e si mnandi
kwaphela	kw a phel a
bathokoza	ba thokoz a, b a thokoz a
ngizwe	ngi zw e
ubuthongo	u bu thongo
kwamethusa	kw a m ethus a
zasethekwini	z a s ethekwini
emuva	e muva, emuva
iqhiyame	i qhiyam e
bebhekisisa	be bhek isis a
zinzima	zi nzima
amenza	a m enz a
elilodwa	e li lo dwa
bangasazi	ba nga s azi
esagwaze	e sa gwaz e
izomhlasela	i zo m hlas el a
ngiyibhekile	ngi yi bhek ile
sesikhona	se si kho na
ayesho	a ye sho
imilomo	i mi lomo
nazo	na z o
nazi	na zi
ijazana	i jaz ana
uhlanganise	u hlangan is e
nalona	na lo na
ngingaphila	ngi nga phil a
esezowabuka	e se zo wa buk a
kumngani	ku m ngani
angisho	a ngi sho
engayithola	e ng a yi thol a
nganeno	nga neno
babesazoyicubungula	ba be sa zo yi cubungul a
esandla	e s andla
ithanda	i thand a
singabendlu	si ng a b e n dlu
iwe	i w e
ngezinto	ng e zin to
untombi	u n tombi
kwakungaze	kw a ku nga ze
uskhemelayi	u skhemelayi
ozakwenza	o z a kw enz a
usigonyela	u si gony el a
nezihlobo	n e zi hlobo
angikusoli	a ngi ku sol i
izinhlamvu	i zin hlamvu
ayisihlanu	a y i si hlanu
akube	a ku b e
kukuphi	ku ku phi
usazoyifunda	u sa zo yi fund a
senginesibinjana	se ngi n e si binj ana
oboti	o boti
kwakuthiwa	kw a ku th iw a
sukanini	suk a nini
enkantolo	e n kantolo
obengilande	o be ngi land e
kuyinto	ku y i n to
ngangibanjwe	ng a ngi banj w e
izandla	i z andla
kwakungangenwangenwa	kw a ku nga ngenwa ngen w a
ngamazwi	ng a ma zw i
umunyu	u munyu
babengazi	ba be ng azi
bonke	bo nke
muni	mu ni
amatshe	a ma tshe
wazimboza	w a zi mboz a
ayefa	a ye f a
sibuye	si buy e
izinqulu	i zin qulu
njengawo	njenga wo
ukuthenga	u ku theng a
kwashabalala	kw a shabalal a
ubuthishela	u bu thishela
emibalabala	e mi bala bala
ecathama	e catham a
ikhofi	i khofi
eqhubeka	e qhubek a
emhlahlweni	e m hlahlw eni
eyenza	e y enz a
zakwabo	za kwa bo
gaga	gaga
ngokuphoxwa	ng o ku phox w a
kungashadwa	ku nga shad w a
ngizoyiletha	ngi zo yi leth a
ju	ju
ulimi	u limi
ngolaka	ng o laka
imigwaqo	i mi gwaqo
yima	yi m a
yilaba	yi la ba
bekungefani	be ku nge fan i
ja	ja
ikade	ikade
thula	thul a
ensinsitheka	e nsinsith ek a
kuncengwe	ku nceng w e
okutshala	o ku tshal a
ofuna	o fun a
ngalizwa	ng a li zw a
sesiyadilizwa	se si ya diliz w a
kukhuluma	ku khulum a
efikile	e fik ile
wavusa	w a vus a
thwala	thwal a
kwake	kw a ke
zagqolozela	z a gqoloz el a
angiyazi	a ngi y azi
ngingafiki	ngi nga fik i
embona	e m bon a
bumsibekele	bu m sibek el e
waphupha	w a phuph a
engihamba	e ngi hamb a
lichitheka	li chith ek a
zemingcwabo	z e mi ngcwab o
sebehlezi	se be hlez i
wayeyigagu	w a ye y i gagu
zingafi	zi nga f i
uyizwa	u yi zw a
kamgci	ka m gci
ngosuku	ng o suku
ibathole	i ba thol e
uqhoshe	u qhosh e
wake	w a ke
uyebo	u yebo
kungutulube	ku ng u tulube
okungahambi	o ku nga hamb i
kokhona	k o kho na
basukume	ba sukum e
ingakufuni	i nga ku fun i
ngumanhlengethwa	ng u manhlengethwa
sebeyaphithizela	se be ya phithiz el a
abaphilayo	a ba phil a yo
bathe	ba th e
kwaqhamuka	kw a qhamuk a
bathi	ba thi
olungasile	o lu nga s ile
abafuthe	a ba futh e
kwaleyompophoma	kwa le y o m pophoma
sami	sa mi
athathwe	a thath w e
sama	s a m a
otshalile	o tshal ile
babekhathele	ba be khathel e
wagcina	w a gcin a
abuyele	a buy el e
uxulu	u xulu
eyisithupha	e y i si thupha
zenziwe	z enz iw e
eseyindoda	e se y i n doda
bathengisa	ba theng is a
kufakwe	ku fak w e
kubo	ku bo
kubi	ku bi
kube	ku b e
bababaze	ba ba baz e
kuba	ku b a
kahle	ka hle
ubuqhaqhaqha	u bu qhaqhaqha
kabafuneki	ka ba fun ek i
iminyovu	i mi nyovu
izinyawowafika	i zi nyawo w a fik a
elishintshile	e li shintsh ile
azozithosela	a zo zi thos el a
ubuze	u buz e
uba	u b a
iyoganela	i yo gan el a
kanjalo	ka njalo
yonke	yo nke
afunde	a fund e
bothina	bo thi na
kangisezukwanda	ka ngi se zu kw and a
yindoda	y i n doda
amadodakazi	a ma doda kazi
unesi	u nesi
isuka	i suk a
yokungadli	y o ku nga dl i
imbala	i m bala
sekuzokuba	se ku zo ku b a
nginamanga	ngi n a ma nga
okokuqala	o k o ku qal a
konyaka	k o nyaka
okwenzekayo	o kw enz ek a yo
wacwebezela	w a cwebezel a
ngokhisimuzi	ng o khisimuz i
kakadeni	kakadeni
embi	e m bi
umbhulelo	u m bhulel o
wagadla	w a gadl a
unswinswinswi	u nswinswinswi
ingani	i nga ni
seliyangesaba	se li ya ng esab a
ingane	i n gane
ekhathi	e khathi
wawuvula	w a wu vul a
evakashele	e vakashel e
adamu	adamu
unkulunkulu	u nkulunkulu
isingili	i si ngili
amthungatha	a m thungath a
linomuntu	li n o mu ntu
okusolayo	o ku sol a yo
engqondweni	e n gqond w eni
eyala	e y al a
ngambuza	ng a m buz a
ayamhlaba	a ya m hlab a
kukubi	ku ku bi
nomdlandla	n o m dlandla
useyambulala	u se ya m bulal a
isizulu	i si zulu
yayibhalwe	y a yi bhal w e
eheleza	e helez a
kuyenzeka	ku y enz ek a
bungehli	bu ng ehl i
esinobhanana	e si n o bhanana
silalaphi	si lal a phi
ngesandla	ng e s andla
ngibheke	ngi bhek e
lowayankosikazi	lo wa ya nkosi kazi
bangakhohlwa	ba nga khohl w a
luvalo	lu valo
ngingakuthola	ngi nga ku thol a
lwakhe	lwa khe
akwaziwa	a kw az iw a
lwakho	lwa kho
bevale	be val e
kwakubhalwe	kw a ku bhal w e
uthisha	u thisha
ohlonipha	o hloniph a
wayekusho	w a ye ku sho
ukokufunda	u ko ku fund a
ngizonigwinya	ngi zo ni gwiny a
abemgwema	a b e m gwem a
ngumagasa	ng u magasa
negama	n e gama
ngakithi	nga ki thi
sezibuye	se zi buy e
iqinisile	i qinis ile
ozohlasela	o zo hlas el a
nompontshi	n o mpontsh i
kwagiya	kw a giy a
imvelele	i m velel e
abasha	a ba sha
wayengakaze	w a ye nga ka ze
wahamba	w a hamb a
singakhuluma	si nga khulum a
amabhasi	a ma bhasi
abaphathe	a ba phath e
ukubhekisisa	u ku bhek isis a
engabaselwe	e nga bas el w e
okweqanda	o kw e qanda
ijazi	i jazi
eyinyanga	e y i nyanga
ukusiwa	u ku s iw a
kwafikwe	kw a fik w e
wabaninda	w a ba nind a
bangakholwa	ba nga khol w a
angithokozi	a ngi thokoz i
angabasiza	a nga ba siz a
ezongenwa	e zo ngen w a
akayolala	a ka yo lal a
ukushekelela	u ku shekelel a
usasukumela	u sa sukum el a
kulungile	ku lung ile
niyitshele	ni yi tshel e
abelokhu	a be lokhu
wazijika	w a zi jik a
uwufuna	u wu fun a
ngizocasha	ngi zo cash a
kangisalikhumbuli	ka ngi sa li khumbul i
izokuthi	i zo ku thi
umzwile	u m zw ile
ingafuni	i nga fun i
zakwethu	za kw ethu
belithi	be li thi
kwakusahanjelwana	kw a ku sa hanj el w an a
eyisinaphungana	e yi s i na phung ana
ngamdlelani	ng a m dl el a ni
anginakukwenza	a ngi na ku kw enz a
okhulumisa	o khulum is a
norifate	n o rifate
u	u
imthele	i m thel e
kungimangalisa	ku ngi mangal is a
okungenzekanga	o ku ng enz ek anga
ngawaseputukezi	ng a wa se putukezi
ayolala	a yo lal a
emile	e m ile
kwesokunxele	kw e s o ku nxele
unguntombi	u ng u n tombi
omanxiwa	o ma nxiwa
adedelwe	a dedel w e
ekhomba	e khomb a
kunjinga	ku njinga
wabaqulela	w a b a qulel a
kanzima	ka nzima
wenzani	w enz a ni
wahlephula	w a hlephul a
kimina	ki mi na
nokwahlukana	n o kw ahluk an a
kuzwe	ku zw e
zabazali	z a ba zal i
bhishi	bhishi
kwemicabango	kw e mi cabang o
erefidimi	e refidimi
lusizo	lu siz o
mntakwethu	m nta kw ethu
steve	steve
etahati	e tahati
bangazifundisi	ba nga zi fund is i
silaza	si laz a
ummbila	u m mbila
esethule	e se thul e
zibuye	zi buy e
zibuya	zi buy a
wayengakhombisi	w a ye nga khombis i
isaba	i sa b a
ukhumbula	u khumbul a
ukhathele	u khathel e
nokukhuluma	n o ku khulum a
imiklomelo	i mi klomel o
uyehle	u y ehl e
abe	a b e
umendo	u mendo
ezigangayo	e zi gang a yo
abo	a bo
babengahambile	ba be nga hamb ile
samphuthuma	s a m phuthum a
angamelana	a nga m el an a
awukuzwe	a wu ku zw e
nalezi	na le zi
kwakusobala	kw a ku so bala
aphawule	a phawul e
ukuhlupheka	u ku hluph ek a
ngezwa	ng ezw a
izokhuluma	i zo khulum a
iyoqeda	i yo qed a
yizingiqi	y i zin giqi
ngempela	ngempela
seyicabanga	se yi cabang a
besifazane	b e si faz ane
isiphuzo	i si phuz o
ngalala	ng a lal a
ngihambile	ngi hamb ile
uzombulala	u zo m bulal a
sebemehlwana	se be me hlw ana
awuboni	a wu bon i
africa	africa
kwentamo	kw e n tamo
asukuma	a sukum a
uyishonisephi	u yi shon is e phi
eya	e y a
emakubo	e ma ku bo
elokuqala	e l o ku qal a
izincwadi	i zin cwadi
ngize	ngi z e
kuzophilwa	ku zo phil w a
esinguninakhulu	e si ng u nina khulu
aphansi	a phansi
amandla	a ma ndla
ngobala	ng o bala
nakudlana	na ku dl ana
abantu	a ba ntu
wayeqonda	w a ye qond a
emkhomazi	e m khom azi
ngemuva	ng e muva
sixoxe	si xox e
uhlobi	u hlobi
wawakhohlwa	w a wa khohl w a
yawagqihisa	y a wa gqih is a
ezazilotshwe	e z a zi lotsh w e, e z a zi lotshw e
lowonkosikazi	lo w o n kosi kazi
uwuthengile	u wu theng ile
nangempela	na ng empela
nothish	n o thish
enginganiweza	e ngi nga ni wez a
kwagovu	kwa govu
uyokwenzenjani	u yo kw enz e njani
isihlahla	i si hlahla
isidumo	i si dumo
kwami	kwa mi
oluphuthumayo	o lu phuthum a yo
ngomhlane	ng o m hlane
babeyibuke	b a be yi buk e
isimo	i si m o
banjani	ba njani
angeze	a ng ez e
emisa	e m is a
eseshaya	e se shay a
iyoshintsha	i yo shintsh a
lifake	li fak e
ayisafiki	a yi sa fik i
okomshayi	o k o m shay i
yingane	y i n gane
izingubo	i zin gubo
uyaqala	u ya qal a
ngikutshele	ngi ku tshel e
yamusa	y a mu s a
esebhekene	e s e bhek en e
baqala	ba qal a
elithwele	e li thwel e
uchule	u chul e
nakhona	na kho na
seyizwile	se yi zw ile
uyohlala	u yo hlal a
ungabhaleli	u nga bhal el i
ewashini	e wash ini
uzozibangela	u zo zi bang el a
okwamanje	o kwa manje
akakazilanduli	a ka ka zi landul i
nokufa	n o ku f a
